Design Source,Location,,,,
Kamiyama Weapon Catalog,"Gifted automatically by Kamiyama in Part 1, Chapter 1",,,,
Fun Science with Denzaburo,"Beam (3,800 yen) as Akiyama",,,,
Cheap and Easy Self Defense,"Beam (3,800 yen) as Akiyama",,,,
The Secret to Promotion: Kissing Ass,Visit Kamiyama Works in Park Alley as Akiyama,,,,
Memoirs of an Action Star,Complete Akiyama Substory #3,,,,
Shiny Shine! Love Shine!,Complete Akiyama Substory #12,,,,
Nationwide Dumpling-making Expose 2010,Visit Kamiyama Works in Park Alley as Saejima,,,,
Space Ninja VII: The Daimyo Strikes Back,"Beam (3,800 yen) as Saejima",,,,
Swordsmith: Hayakawa Ryutaro,"Beam (3,800 yen) as Saejima",,,,
Lucky 8: Fist of Glory,"Beam (3,800 yen) as Saejima",,,,
Let's Get Physical!,"Beam (7,800 yen) as Saejima",,,,
Trail of the Ancient Fighter King,Complete Saejima Substory #15,,,,
K Works Catalog 1,"Automatically given by Renta Kamiyama in Part 2, Chapter 4",,,,
Journal of Rare Sign Maniac,Complete Fighter Maker with Saejima,,,,
Spear of the Moment,Visit Kamiyama Works in Park Alley as Tanimura,,,,
K Works Catalog 2,Visit Kamiyama Works (Armor) on the West Rooftops as Tanimura,,,,
Dragon's Last Wind,"Beam (3,800 yen) as Tanimura",,,,
Grandmas on the Run,"Beam (7,800 yen) as Tanimura",,,,
Beatdown Basics,"Beam (3,800 yen) as Tanimura",,,,
Kick Ass Like a Badass,"Beam (7,800 yen) as Tanimura",,,,
Explosive Fishing!,Complete Tanimura Substory #12,,,,
Shocking Spy Gear Exposed,Complete Tanimura Substory #7,,,,
Toy Gun Blueprints,Visit Kamiyama Works in Park Alley as Kiryu,,,,
K Works Catalog 3,Visit Kamiyama Works (Armor) on the West Rooftops as Kiryu,,,,
Tale of a Great Golfer,"Beam (3,800 yen) as Kiryu",,,,
My Boyfriend is Number Four,"Beam (3,800 yen) as Kiryu",,,,
Inmate Number 38,"Beam (11,800 yen) as Kiryu",,,,
World's Strangest Amulets,"Beam (7,800 yen) as Kiryu",,,,
Limbo 2: Night of the Limbo,Complete Kiryu's Substories,,,,
,,,,,
,,,,,
Weapon,Design Source,Base,Materials,,Cost
Bats/Clubs,,,,,
Patriarch's Driver,Beatdown Basics,Wooden Driver,Super Resin,Pearl,"20,000"
Dragon-Drive 99,Tale of a Great Golfer,Titanium Driver,Durable Cloth,High-Grade Platinum,"50,000"
Spiked Bat,Beatdown Basics,Metal Bat,Chunk of Wood (Ash),Iron Nail,"10,000"
Patriarch's Bat,Beatdown Basics,Metal Bat,Chunk of Wood (Maple),Block of Brass,"20,000"
